nice_name,question_text,bsa_name,bsa_env_trends,include,is_ordinal,domain,env_var_type,issp_topic,environment_label,economics,actor_detail,valid_range,reverse,name_1993,name_2000,name_2010,name_2020,comments,exclusion_reason,is_climate_change,is_gen_env,indicates_recpt,new_class_comments,original_order,expression_2cat
savener1,"For the sake of the environment, [Country's] government should spend public money on campaigns to persuade people to use less energy",savener1,FALSE,NA,TRUE,environment,policy,,environment,public money,government,01:05,TRUE,V73,,,,Question not repeated - no issp topic,,NA,NA,NA,,60,
savener2,"For the sake of the environment, [Country's] government should put up energy taxes each year for the next ten years to get people to use less energy",savener2,FALSE,NA,TRUE,environment,policy,,environment,taxes,government,01:05,TRUE,V74,,,,Question not repeated - no issp topic,,NA,NA,NA,,61,
savener3,"For the sake of the environment, [Country's] government should spend public money on grants to help all households put in better home insulation in order to save energy",savener3,FALSE,NA,TRUE,environment,policy,,environment,public money,government,01:05,TRUE,V75,,,,Question not repeated - no issp topic,,NA,NA,NA,,62,
savener4,"For the sake of the environment, [Country's] government should restrict or ration the amount of energy that each household is allowed to use to make people use less energy",savener4,FALSE,NA,TRUE,environment,policy,,environment,ration,government,01:05,TRUE,V76,,,,Question not repeated - no issp topic,,NA,NA,NA,,63,
reddrive,"Compared with most people, how much effort would you say you make to cut back on driving, for the sake of the environment?",reddrive,FALSE,NA,TRUE,environment,behaviour,,environment,none,respondent,01:05,TRUE,V86,,,,Question not repeated - no issp topic,,NA,NA,NA,,64,
trafnois,"Within the next twenty years or so, traffic noise will be one of the most serious problems for [Country]",trafnois,FALSE,NA,TRUE,environment,concern,,pollution,none,none,01:04,TRUE,V87,,,,Question not repeated - no issp topic,,NA,NA,NA,,65,
drivpol1,"For the sake of the environment, [Country's] government should spend public money on campaigns to persuade people to cut back on driving",drivpol1,FALSE,NA,TRUE,environment,policy,,environment,public money,government,01:05,TRUE,V88,,,,Question not repeated - no issp topic,,NA,NA,NA,,66,
drivpol2,"For the sake of the environment, [Country's] government should put up taxes on petrol each year for the next ten years to get people to cut back on driving",drivpol2,FALSE,NA,TRUE,environment,policy,,environment,taxes,government,01:05,TRUE,V89,,,,Question not repeated - no issp topic,,NA,NA,NA,,67,
drivpol3,"For the sake of the environment, [Country's] government should put a special environment tax on private cars and use the money to improve public transport",drivpol3,FALSE,NA,TRUE,environment,policy,,environment,taxes,government,01:05,TRUE,V90,,,,Question not repeated - no issp topic,,NA,NA,NA,,68,
drivpol4,"For the sake of the environment, [Country's] government should restrict or ration the amount of petrol or diesel that people are allowed to buy to make them cut back on driving",drivpol4,FALSE,NA,TRUE,environment,policy,,environment,ration,government,01:05,TRUE,V91,,,,Question not repeated - no issp topic,,NA,NA,NA,,69,
attwrap,"When you are shopping, how often do you pay attention to the amount of wrapping or packaging used on products before you decide to buy something?",attwrap,FALSE,NA,TRUE,environment,behaviour,,none,none,respondent,01:04,TRUE,V92,,,,Question not repeated - no issp topic,,NA,NA,NA,,70,
attwrap1,"In the last month or so, did you actually not buy something because you felt it used too much packaging or wrapping?",attwrap1,FALSE,NA,TRUE,environment,behaviour,,none,none,respondent,01:02,TRUE,V93,,,,Question not repeated - no issp topic,,NA,NA,NA,,71,
wastepro,"Within the next twenty years or so, finding official sites to dump or burn household waste will be one of the most serious problems for [Country]",wastepro,FALSE,NA,TRUE,environment,concern,,none,none,none,01:04,TRUE,V95,,,,Question not repeated - no issp topic,,NA,NA,NA,,72,
wastpol1,"For the sake of the environment, the [Country's] government should spend public money on campaigns to persuade people to produce less household waste",wastpol1,FALSE,NA,TRUE,environment,policy,,environment,none,government,01:05,TRUE,V96,,,,Question not repeated - no issp topic,,NA,NA,NA,,73,
wastpol2,"For the sake of the environment, the [Country's] government should make each household pay for its rubbish collection according to the amount of rubbish it leaves out, to get people to produce less household waste",wastpol2,FALSE,NA,TRUE,environment,policy,,environment,none,government,01:05,TRUE,V97,,,,Question not repeated - no issp topic,,NA,NA,NA,,74,
wastpol3,"For the sake of the environment, the [Country's] government should control the amount and type of packaging on products, even products, even if it leads to higher prices or less convenience for the customer",wastpol3,FALSE,NA,TRUE,environment,policy,,environment,none,government,01:05,TRUE,V98,,,,Question not repeated - no issp topic,,NA,NA,NA,,75,
labelatt,"When you are choosing a product, how often do you pay attention to any environmental labelling before deciding to buy?",labelatt,FALSE,NA,TRUE,environment,behaviour,,none,none,respondent,01:04,TRUE,V99,,,,Question not repeated - no issp topic,,NA,NA,NA,,76,
labeltru,"And if you look at environmental labelling on products, how often do you trust it?",labeltru,FALSE,NA,TRUE,environment,behaviour,,none,none,respondent,01:04,TRUE,V100,,,,Question not repeated - no issp topic,Not clearly indicating environmental position,NA,NA,NA,,77,
envpol1,"For the sake of the environment, [Country's] government should spend public money on campaigns to persuade people not to harm the environment",envpol1,FALSE,NA,TRUE,environment,policy,,environment,public money,government,01:05,TRUE,V101,,,,Question not repeated - no issp topic,,NA,NA,NA,,78,
envpol2,"For the sake of the environment, [Country's] government should put up taxes on things which harm the environment each year for the next ten years, to get people not to buy or use them",envpol2,FALSE,NA,TRUE,environment,policy,,environment,taxes,government,01:05,TRUE,V102,,,,Question not repeated - no issp topic,,NA,NA,NA,,79,
envpol3,"For the sake of the environment, [Country's] government should pass strict environmental laws in order to stop people causing harm to the environment",envpol3,FALSE,NA,TRUE,environment,policy,,environment,none,government,01:05,TRUE,V103,,,,Question not repeated - no issp topic,,NA,NA,NA,,80,
efforten,"Thinking now of all the possible things that people can do: compared with most people, how much effort would you say you make, in general, to do what is right for the environment?",efforten,FALSE,NA,TRUE,environment,behaviour,,environment,none,respondent,01:05,TRUE,V104,,,,Question not repeated - no issp topic,,NA,NA,NA,,81,
tupower,Do you think that trade unions in [Country] have too much power or too little power?,tupower,NA,NA,TRUE,economic,,,,,,01:05,FALSE,V108,,,,Question not repeated - no issp topic,,NA,NA,NA,,82,
tugood,"In general, how good would you say trade unions are for the country as a whole?",,NA,NA,TRUE,economic,,,,,,01:05,TRUE,V109,,,,Question not repeated - no issp topic. Not in BSA,,NA,NA,NA,,83,
popgrow,The earth simply cannot continue to support population growth at its present rate,popgrow,TRUE,FALSE,TRUE,environment,belief,Attitudes towards Science and Nature,earth,none,none,01:05,TRUE,,V17,v28,,,Set to exclude due to scientific accuracy of the statement,FALSE,FALSE,FALSE,,84,
morimpen,There are more important things to do in life than protect the environment,morimpen,FALSE,TRUE,TRUE,environment,belief,Environmental Efficacy,environment,none,none,01:05,FALSE,,V24,v34,v32,,,FALSE,TRUE,TRUE,,85,conative
noptenv,There is no point in doing what I can for the environment unless others do the same,noptenv,FALSE,FALSE,TRUE,environment,belief,Environmental Efficacy,environment,none,respondent,01:05,FALSE,,V25,v35,v33,,,FALSE,TRUE,FALSE,,86,
exagenv,Many of the claims about environment threats are exaggerated,exagenv,FALSE,TRUE,TRUE,environment,belief,Environmental Efficacy,environment,none,none,01:05,FALSE,,V26,v36,v34,,,FALSE,TRUE,TRUE,,87,cognitive_affective
gmcrops,"And do you think that modifying the genes of certain crops is extremely dangerous for the environment, very dangerous, somewhat dangerous, not very dangerous, or not dangerous at all for the environment",gmcrops,FALSE,FALSE,TRUE,environment,belief,Dangers of Specific Environmental Problems,none,none,none,01:05,FALSE,,V39,v44,v42,,Set to exclude because pro-GM is not necessarily anti-environment,FALSE,FALSE,FALSE,,88,
ctryefen,"Some countries are doing more to protect the world environment than other countries are. In general, do you think that [Country] is doing more than enough, about the right amount, or too little?",ctryefen,FALSE,TRUE,TRUE,environment,policy,"Environmental Protection, Locus of Control, and Effort",environment,none,none,01:03,FALSE,,V42,v48,,,,FALSE,TRUE,TRUE,Initial statement seems to put things in relative terms compared to other countries. ,89,conative
enveff1,"On balance, which of these two do you think is making more effort to look after the environment ... business and industry, people in general, or both equally?",enveff1,FALSE,NA,FALSE,environment,,"Environmental Protection, Locus of Control, and Effort",environment,none,none,01:03,FALSE,,V43,,,,Not clearly indicating environmental position,NA,NA,NA,,90,
enveff2,"And which of these two groups do you think is making more effort to look after the environment ... government, business and industry, or both equally?",enveff2,FALSE,NA,FALSE,environment,,"Environmental Protection, Locus of Control, and Effort",environment,none,none,01:03,FALSE,,V44,,,,Not clearly indicating environmental position,NA,NA,NA,,91,
enveff3,"And which of these two groups do you think is making more effort to look after the environment ... people in general, government, or both equally?",enveff3,FALSE,NA,FALSE,environment,,"Environmental Protection, Locus of Control, and Effort",environment,none,none,01:03,FALSE,,V45,,,,Not clearly indicating environmental position,NA,NA,NA,,92,
intagenv,"For environmental problems, there should be international agreements that [Country] and other countries should be made to follow",intagenv,FALSE,TRUE,TRUE,environment,policy,"Environmental Protection, Locus of Control, and Effort",environment,none,none,01:05,TRUE,,V46,v52,,,,FALSE,TRUE,TRUE,,93,conative
poorless,Poorer countries should be expected to make less effort than richer countries to protect the environment,poorless,FALSE,FALSE,TRUE,environment,policy,"Environmental Protection, Locus of Control, and Effort",environment,none,none,01:05,FALSE,,V47,v53,,"issp 2000 excludes Latvia, where question and responses are different",Not clearly indicating environmental position,FALSE,TRUE,FALSE,,94,
ecpslow,Economic progress in [Country] will slow down unless we look after the environment better,ecpslow,FALSE,TRUE,TRUE,environment,belief,Positive Trade-Off of Environmentalism,environment,economic growth,none,01:05,TRUE,,V48,v54,,,"Set to include, but unsure if this is correct since it is basically the reverse of evirecg, which is set to exclude",FALSE,TRUE,TRUE,,95,cognitive_affective
nucaccid,"Within the next five years, how likely is it that an accident at a nuclear power station will cause long-term environmental damage across many countries?",nucaccid,FALSE,NA,TRUE,environment,concern,Attitudes towards Science and Nature,radioactivity,none,none,01:04,FALSE,,V49,,,,Set to exclude because environmental arguments for and against nuclear power,NA,NA,NA,,96,
pollinf1,How much trust do you have in each of the following groups to give you correct information about causes of pollution? Business and industry,pollinf1,FALSE,NA,TRUE,environment,,Trust in Information Sources on Environmental Issues,pollution,none,industry,01:05,FALSE,,V50,,,,Set to exclude because it arguably mesures left-right values rather than environmentalism,NA,NA,NA,,97,
pollinf2,How much trust do you have in each of the following groups to give you correct information about causes of pollution? Environmental groups,pollinf2,FALSE,NA,TRUE,environment,belief,Trust in Information Sources on Environmental Issues,pollution,none,environmental groups,01:05,TRUE,,V51,,,,,NA,NA,NA,,98,
pollinf3,How much trust do you have in each of the following groups to give you correct information about causes of pollution? Government departments,pollinf3,FALSE,NA,TRUE,environment,,Trust in Information Sources on Environmental Issues,pollution,none,government,01:05,FALSE,,V52,,,,Set to exclude but might be useful to measure environmntal populism,NA,NA,NA,,99,
pollinf4,How much trust do you have in each of the following groups to give you correct information about causes of pollution? Newspapers,pollinf4,FALSE,NA,TRUE,environment,,Trust in Information Sources on Environmental Issues,pollution,none,media,01:05,FALSE,,V53,,,,Set to exclude but might be useful to measure environmntal populism,NA,NA,NA,,100,
pollinf4,How much trust do you have in each of the following groups to give you correct information about causes of pollution? Radio or TV programmes,pollinf4,FALSE,NA,TRUE,environment,,Trust in Information Sources on Environmental Issues,pollution,none,media,01:05,FALSE,,V54,,,,Set to exclude but might be useful to measure environmntal populism,NA,NA,NA,,101,
pollinf5,How much trust do you have in each of the following groups to give you correct information about causes of pollution? University research centres,pollinf5,FALSE,NA,TRUE,environment,,Trust in Information Sources on Environmental Issues,pollution,none,experts,01:05,FALSE,,V55,,,,Set to exclude but might be useful to measure environmntal populism,NA,NA,NA,,102,
redistrb,Government should redistribute income from the better-off to those who are less well-off,redistrb,NA,NA,TRUE,economic,,,,,,01:05,TRUE,,V65,,,no issp topic,,NA,NA,NA,,103,
chalauth,One of the problems with people today is that they challenge authority too often,,NA,NA,TRUE,culture,,,,,,01:05,FALSE,,V67,,,No issp topic. Not in BSA,,NA,NA,NA,,104,
enjmoney,People with money should be left to enjoy it,,NA,NA,TRUE,economic,,,,,,01:05,FALSE,,V68,,,No issp topic. Not in BSA,,NA,NA,NA,,105,
wrnglaw,There are times when people should follow their consciences even if it means breaking the law,,NA,NA,TRUE,culture,,,,,,01:05,TRUE,,V69,,,No issp topic. Not in BSA,,NA,NA,NA,,106,
contpren,Private enterprise needs to be controlled to protect everyone's needs,,NA,NA,TRUE,economic,,,,,,01:05,TRUE,,V70,,,No issp topic. Not in BSA,,NA,NA,NA,,107,
inequal,All societies have inequalitites which it is better not to interfere with,,NA,NA,TRUE,economic,,,,,,01:05,FALSE,,V71,,,No issp topic. Not in BSA,,NA,NA,NA,,108,
concenv,"Generally speaking, how concerned are you about environmental issues?",concenv,FALSE,TRUE,TRUE,environment,concern,Salience of environmental issues,environment,none,respondent,01:05,FALSE,,,v15,v15,,,FALSE,TRUE,TRUE,,109,cognitive_affective
envprb1,"Which problem, if any, do you think is the most important for [COUNTRY] as a whole? 1 Air pollution. 2 Chemicals and pesticides. 3 Water shortage. 4 Water pollution. 5 Nuclear waste. 6 Domestic waste disposal. 7 Climate change. 8 Genetically modified foods. 9 Using up our natural resources. 10 None of these",envprb1,FALSE,FALSE,FALSE,environment,,Salience of environmental issues,environment,none,none,01:10,FALSE,,,v16,v16,Extra response category in South Korea: 11 = disorderly way of regional development,Not clearly indicating environmental position. ,FALSE,TRUE,FALSE,"Could be recoded so that the answer reports whether R thinks climate change is the biggest environmental issue facing the country.. Currently exclude because there are several responses that could indicate extensive climate concern but which are not the climate change category. (The examples would be air pollution, water shortage, using up our natural resources). We could reconsider this because  a recoded version of this question is  the second DV in the Anomolous Anglophones paper, so that would improve comparability.",110,
envprb2,"Which problem, if any, affects you and your family the most? 1 Air pollution. 2 Chemicals and pesticides. 3 Water shortage. 4 Water pollution. 5 Nuclear waste. 6 Domestic waste disposal. 7 Climate change. 8 Genetically modified foods. 9 Using up our natural resources. 10 None of these",envprb2,FALSE,FALSE,FALSE,environment,,Salience of environmental issues,environment,none,none,01:10,FALSE,,,v17,,10 = noises in South Korea,Not clearly indicating environmental position. ,FALSE,FALSE,FALSE,,111,
dkhrmenv,I find it hard to know whether the way I live is helpful or harmful to the environment,dkhrmenv,FALSE,FALSE,TRUE,environment,,Environmental Efficacy,environment,none,respondent,01:05,FALSE,,,v37,v35,,Not clearly indicating environmental position. ,FALSE,TRUE,FALSE,,112,
enveflif,Environmental problems have a direct effect on my everyday life,enveflif,FALSE,FALSE,TRUE,environment,,Salience of environmental issues,environment,none,none,01:05,TRUE,,,v38,v36,Reversed but set to exclude,Not sure if this indicates environmental position,FALSE,FALSE,TRUE,Not a general environmental attitude - it is experience of an environmental problem.,113,
prtenvbs,Which of these approaches do you think would be the best way of getting business and industry in [COUNTRY] to protect the environment? 1 Heavy fines for businesses that damage the environment. 2 Use the tax system to reward businesses that protect the environment. 3 More information and education for businesses about the advantages of protecting environment,prtenvbs,FALSE,FALSE,FALSE,environment,policy,Environmental Policy,environment,none,industry,01:03,FALSE,,,v49,v44,,Not clearly indicating environmental position. ,FALSE,TRUE,FALSE,,114,
prtenvpf,Which of these approaches do you think would be the best way of getting people and their families in [COUNTRY] to protect the environment? 1 Heavy fines for people who damage the environment. 2 Use the tax system to reward people who protect the environment. 3 More information and education for people about the advantages of protecting environment,prtenvpf,FALSE,FALSE,FALSE,environment,policy,Environmental Policy,environment,none,people,01:03,FALSE,,,v50,v45,,Not clearly indicating environmental position. ,FALSE,TRUE,FALSE,,115,
engypri,"To which of the following should [COUNTRY] give priority in order to meet its future energy needs? 1 Coal, oil and natural gas. 2 Nuclear power. 3 Solar, wind or water power. 4 Fuels made from crops. 5 None of them",engypri,FALSE,NA,FALSE,environment,policy,Environmental Policy,energy needs,none,none,01:05,FALSE,,,v51,,Extra response category in US: 6 = fuels made waste,Set to exclude but could be dichotomised to environmental v unenvironmental fuel dummy,NA,NA,NA,,116,
lesehome,How often do you reduce the energy or fuel you use at home for environmental reasons?,lesehome,FALSE,NA,TRUE,environment,behaviour,Respondent's Behaviour and Environmental Protection,none,none,respondent,01:04,TRUE,,,v58,,,,NA,NA,NA,,117,
reusewtr,And how often do you choose to save or re-use water for environmental reasons?,reusewtr,FALSE,NA,TRUE,environment,behaviour,Respondent's Behaviour and Environmental Protection,none,none,respondent,01:04,TRUE,,,v59,,,,NA,NA,NA,,118,
shopenv,And how often do you avoid buying certain products for environmental reasons?,shopenv,FALSE,FALSE,TRUE,environment,behaviour,Respondent's Behaviour and Environmental Protection,none,none,respondent,01:04,TRUE,,,v60,v53,,,FALSE,FALSE,TRUE,,119,
forgrel1,[COUNTRY] should limit the import of foreign products in order to protect its national economy,forgrel1,NA,NA,TRUE,culture,,,,,,01:05,FALSE,,,,v5,No issp 20 topic documentation yet,,NA,NA,NA,,120,
redimm,[COUNTRY] should limit immigration in order to protect our national way of life,,NA,NA,TRUE,culture,,,,,,01:05,FALSE,,,,v6,No issp 20 topic documentation yet,,NA,NA,NA,,121,
mnntpowr,International organizations are taking away too much power from the [COUNTRY NATIONALITY] government,mnntpowr,NA,NA,TRUE,culture,,,,,,01:05,FALSE,,,,v7,No issp 20 topic documentation yet,,NA,NA,NA,,122,
anthrocc,Which of the following statements comes closest to your opinion? The world's climate has not been changing. The world's climate has been changing mostly due to natural processes. The world's climate has been changing about equally due to natural processes and human activity. The world's climate has been changing mostly due to human activity,,FALSE,NA,TRUE,environment,belief,,climate change,none,none,01:04,FALSE,,,,v17,No issp 20 topic documentation yet. Not in BSA but similar to ccbeliev. Discussion to be had about dichotomising this variable,,NA,NA,NA,,123,
ccevalw,"On a scale from 0 to 10, how bad or good do you think the impacts of climate change will be for the world as a whole?",,FALSE,NA,TRUE,environment,concern,,climate change,none,none,01:10,TRUE,,,,v18,No issp 20 topic documentation yet. Not in BSA,,NA,NA,NA,,124,
ccevalc,"On a scale from 0 to 10, how bad or good do you think the impacts of climate change will be for [Country]?",,FALSE,NA,TRUE,environment,concern,,climate change,none,none,01:10,TRUE,,,,v19,No issp 20 topic documentation yet. Not in BSA,,NA,NA,NA,,125,
devnatres,"How willing would you be to accept a reduction in the size of [COUNTRY's] protected nature areas, in order to open them up for economic development?",,FALSE,NA,TRUE,environment,policy,,protected nature areas,economic growth,respondent,01:05,FALSE,,,,v29,No issp 20 topic documentation yet. Not in BSA,,NA,NA,NA,,126,
outdrsy1,"How much, if at all, do you enjoy being outside in nature?",,FALSE,NA,TRUE,environment,behaviour,,nature,none,respondent,01:05,FALSE,,,,v46,No issp 20 topic documentation yet. Not in BSA,Not clearly indicating environmental position. ,NA,NA,NA,,127,
outdrsy2,"In the last twelve months how often, if at all, have you engaged in any leisure activities outside in nature, such as hiking, bird watching, swimming, skiing, other outdoor activities or just relaxing?",,FALSE,NA,TRUE,environment,behaviour,,nature,none,respondent,01:05,TRUE,,,,v47,No issp 20 topic documentation yet. Not in BSA,Not clearly indicating environmental position. ,NA,NA,NA,,128,
npollute1,"Thinking about your neighbourhood, to what extent, if at all, was it affected by the following things over the last twelve months? Air pollution",,FALSE,NA,TRUE,environment,,,pollution,none,none,01:05,FALSE,,,,v58,No issp 20 topic documentation yet. Not in BSA,Not clearly indicating environmental position. ,NA,NA,NA,,129,
npollute2,"Thinking about your neighbourhood, to what extent, if at all, was it affected by the following things over the last twelve months? Water pollution",,FALSE,NA,TRUE,environment,,,pollution,none,none,01:05,FALSE,,,,v59,No issp 20 topic documentation yet. Not in BSA,Not clearly indicating environmental position. ,NA,NA,NA,,130,
npollute3,"Thinking about your neighbourhood, to what extent, if at all, was it affected by the following things over the last twelve months? Extreme weather events (such as severe storms, droughts, floods, heat waves, cold snaps, etc.)",,FALSE,NA,TRUE,environment,,,extreme weather,none,none,01:05,FALSE,,,,v60,No issp 20 topic documentation yet. Not in BSA,Not clearly indicating environmental position. ,NA,NA,NA,,131,
shortoil,"Within the next twenty years or so, shortages of oil and gas will be one of the most serious problems for [Country]",shortoil,FALSE,NA,TRUE,environment,concern,,energy needs,none,none,01:04,TRUE,V71,,,,Question not repeated - no issp topic,,NA,NA,NA,,132,
